Comment,Vote_useful,Date,Rating
"Honestly, Genshin is everything I'm looking for in a game. A fantasy setting, open world exploration and representation of real cultures, characters, beautiful art and graphics, cool outfits and weapons, co-op, quests, events, and music! The developers have worked and are continuing to work really hard on satisfying players with constant updates. In my opinion, you don't need to pay to make the experience fun. It's amazing no matter what. :)",116,"August 15, 2022",5
"LACK OF DIVERSITY!! I have been playing this game for almost 2 years, daily. It has a good overall experience + things to offer. However, an issue that's been here from the start and has become more obvious with new releases is that it lacks diversity. Skin tones, body shapes, weapon styles and more are very, very lacking. We as a community have been saying this for almost 2 years, yet get no response and are ignored or flagged. Aside from these issues being problematic, it's just bad designing.",630,"August 23, 2022",2
"Would be a 5-star review if Android had the option to use a controller. Game is very expansive and you get a lot for free. Wishes can be spendy cash-wise but you get plenty of opportunities for free gear if you play consistently. Graphics are great and run smooth. Story is unique (to me at least). Gameplay is simple and effective. Again, if we could use controllers, easy 5-star. Accessibility is lacking because of this.",30,"August 10, 2022",4
"The game is overall good. Love the story so far & where it's going. My only complaints are the gacha system & the visuals, really. The game isn't F2P friendly at all; the rates are kind of low, & it drains the wallet. While the view in the game is extraordinary, the vastness of the game can deteriorate the quality of gaming. EDIT: There's also definitely a lack in variety now when it comes to the characters. Besides the new update, there's little opportunity of new, interesting team builds.",12,"August 24, 2022",3
"Yes, this game is good, with an interesting plot and lore. But the graphics are a little too extreme. Yes, I know, this game is getting beautiful sceneries with a high set of graphics, but I cant help but get a lag spike even when it says that the graphics are good to the point its smooth. That, and the fact that sometimes after fighting enemies, I find myself not being able to chat. Either way, a cool game, with beautiful sceneries and amazing characters that have an interesting lore.","1,674","July 24, 2022",3
"Updated Review: The game has pretty good quality (music, art, VA, etc.) updates that have been consistent for an entire year. The game is fairly easy to navigate and there's a decent amount of content for new players at this point of the game. However the bad part is it's getting a bit taxing on your system the more updates they release, so you might need a high end computer to run it.",80,"August 11, 2022",4
"I've played more than my fair share of gacha games. Genshin Impact has improved on all of them with an open world that's interesting to explore. Additionally, they've managed to avoid both the unnecessary powercreep usually seen in the genre, as well as keeping the systems simple to understand and play, while still rewarding mastery with fun gameplay. Overall, it's well worth getting into.",28,"August 15, 2022",5
"Gameplay is great, world is beautiful, even with limited graphics, and characters and their designs are amazing. However there are numerous problems. Lack of content besides from limited events, artifact grinding taking a copious amount of time, etc. However, the biggest problem for me right now is how often the servers disconnect. My WiFi is fine, I've changed it before, and my phone ran it fine before. This issue makes the game almost unplayable and it happens way too often(every 5-15 minutes)",189,"August 7, 2022",3
Amazing. I would like it if any time I minimized the game it didn't have to re-connect and that you could unlock constellations instead of wishing. The main plot progresses slowwww and a lot of the quests are VERY monotonous and childish. Other than that it's a good game . I've spent a few real dollars playing and don't regret it.,261,"July 12, 2022",5
Update: 2.8 to 3.0 Genshin couldn't be better of a Game! Though i do wish there were more viable DPS characters instead of the support types we've been getting as of late. I love the game. No problems. Great storyline. Amazing art. I'd love to learn from the artists. VERY HAPPY WITH GENSHIN.! OLD: Keeps crashing after 2.5 update won't even get to the loading screen. Have plenty of available ram and storage space. I've even tried uninstalling and reinstalling twice,44,"August 11, 2022",5
"Look the game is fun for the most part, but this is twice now it has dumped my account after not letting me email verify. I was almost at level 26 this last time and it was really frustrating to log on and it start from the beginning. I am trying to verify to sync it so it doesn't happen a 3rd time and nothing happens when I hit send code. *edit* I am loving this game. The story is so involved, and the puzzles can be quite tricky at times. I even have a few that are pinned for later.",77,"August 25, 2022",4
"Almost 2 years of scattered play. I always return for new content. The stories are fun and the game play is too. Some of my friends started playing recently and they like it but it's a lot to get through as far as reputation. I think Mihoyo may need to come up with a faster route to get new players caught up with older players - so old and new players can play ""fairly"" what I mean is, I don't want to lower my world level and lose rewards, or wait for my friends to get stronger for a few months.",23,"August 24, 2022",5
"i love this game a lot. great story, great gameplay, all the characters have their own story and its super engaging. however, the storage it takes is a little ridiculous. im being forced to quit because my phone cant handle it. its a really good game! i hate to quit, it just takes too much storage. hopefully a version for nintendo comes out.",2,"August 24, 2022",4
"Most games that have multiple platforms do not perform well when switching to a mobile device. I'm beyond impressed with this mobile version. While I still enjoy the control/accuracy I get playing on my PC more, if I'm away from home this is an awesome alternative. Especially given the fact that it's free with no ads.",116,"August 23, 2022",5
Genshin Impact keeps you entertained and unable to set your phone down. It's interactive and provides multiple quests to go on. The graphics are aesthetically pleasing as well. Only issue is the quick battery drain with long periods of playing. It's to be expected though. Definitely recommend this app when you want to kill some time.,56,"August 9, 2022",4
"I love this game. Even though sometimes, I go on a break from it, I still will always love it. The characters are interesting + strong, you have artifacts, very good plot development, and many many more reasons why I love this game. Even if there's a few to many bugs, I'd still play it to let the devs know about these bugs. The areas are also fun to explore, as well. Some people managed to get extremely strong characters that are underrated!",127,"July 12, 2022",5
"This game is mad fun. Great characters, gameplay, world, design, it's great. The MUSIC is absolutely bonkers good. I docked a star because there are some blaring issues that haven't gone away. Hoyoverse listens to the player-base sometimes, but some problems will probably never be fixed. These don't bother me, I have lots of fun with this game as long as I don't make it a chore.",50,"August 17, 2022",4
"RNG is really bad in this game. Fun, but still no controller support for Android (despite all other platforms having it) and it seems they intend on keeping it that way. The game itself runs worse with each update. I've had to turn graphics settings down just to keep the game playable every single time now due to updates. I think this game is comparable to games like craftopia. You could make your own fun in the beginning but it quickly gets boring.",118,"September 9, 2022",1
"Overall, this game is amazing! I originally played on my computer but it always lagged. I later downloaded it on my phone and I've had a few problems; My amount of damage won't show, everytime I go near water, it glows at a certain angle & distance, and more. After asking other players on different platforms, I found out that this isn't just a me problem, but a problem for most of the android genshin players. I'd love to get any information to help with this problem, or someone to fix it",96,"July 13, 2022",3
"Hey, great game, first off! But I'm experiencing a bug recently the camera, not one of the ""Kameras."" Zoom seems to be inverted. Zooming ""in"" ( + ) is zooming out, and zooming ""out"" ( - ) is in. I looked in game settings but didn't see any settings that would invert the in-game screengrab function... so help its mildly annoying but when you're wanting a nice shot especially in the event and it zooms ""out"" when you're wanting in its irritating. Thank you for a great and enjoyable game!",151,"July 24, 2022",5
"Nevertheless genshin is one of my favorite games of all time and it's a really good game in general. 9/10 would recommend. Edit Also it's alot of fun to play with friends and can lead to some really funny moment lol Edit, 8/24/22 the game is still super good, and I love playing it but now I only really play it on my computer. It takes up to much storage, and to help with the lag my full storage create Ive turned down my graphics so it's not as good anymore.",2,"August 24, 2022",4
"The mobile version doesn't do this game justice, it's much less laggier on console and on a good pc. The graphics are amazing on those platforms, the music is great and the story is great. However once you complete the story there is next to nothing to do and it gets repetitive very fast. It's very difficult to earn primogems so in order to actually have a great experience with the game, you're basically forced to spend money on it.",116,"July 29, 2022",4
"Edit- until my android is able to use a controller with this game, its no longer viable. Difficulty ramps up and i cant keep up on touch controls. It was fun while it lasted. Been playing this on phone and pc since release. This game is not just good. This is art, this is a quality triple-A game, that can be played for zero dollars. For once, I feel GREAT supporting a game through an occasional microtransation. I pray this game goes for ages.",13,"August 16, 2022",3
"Superior cross play capabilities that are ahead of it's time. I can get off the PC and play on my phone with very little to impact the gameplay. Beautiful story and design and very little bugs! Game is 100% enjoyable FTP. Only thing I can think of to improve is to add gamepad support for the Android version, I use a dual screen phone with programmable gamepad options, but for those using products like the Gamesir X2 are out of luck. This lack of support is my one star penalty.",145,"August 4, 2022",4
"I took a hiatus from the game after the messy first anniversary. I'm more of a seasonal player now; my goal is to do the events and gather lore. Stellar art direction, gameplay mechanics, music, environment, story, and characters. Resin cap needs to be doubled (320), and cost should be halved (20), at the very least. As a result of the resin limitation, artifacts still being heavily RNG is extremely frustrating. Events should be archived so players can view it again, since they're full of lore.",38,"July 28, 2022",4
"I love this game and have been playing it for a while. But with this new update, my game barely runs. Barely any of the assets load in properly, textures don't show amongst other things. I want to continue playing, but I'm slowly beginning to struggle. I've spent hundreds on this game and made amazing memories on it and I'd hate to have to leave it.",10,"August 24, 2022",3
"I love genshin ever since I downloaded it back in the end of March of 2022! But with the recent 2.8 update it keeps crashing on me and lagging bad time, as in I'm just trying to do a single commission and it crashed on me twice in just an hour, I play on mobile(Samsung s10e) and my phone is completely up to date, and I've never had any problems before, so I'm just wondering if it's just my phone or if it's with everyone else. Other then that I love this game and it got me addicted quick lol",63,"July 14, 2022",4
"Good lore, good story, gameplay is challenging. I really wish we were able to personally choose a 5 star and 4 stars / side banner that we wanted as a permanent thing, it's extremely hard waiting for specific 5 star banner characters every other few weeks to even months, it's ridiculous and time consuming. Btw a few of the skills on lower 3 tier weapons should be changed as well, might be cus I'm still kinda new, but I find some really useless for almost all of my characters.",1,"August 23, 2022",4
"It's a good game but crazy expensive too get characters and level them. Biggest gripe is that the camera moves around during battles so that half the time the view is blocked by grass, rocks or buildings. I know it's to be cinematic and works well on flat ground but incredibly annoying on other terrain and screwed me over a few times on bosses. Please give option to turn it off.",19,"September 9, 2022",4
"it is a really fun game, just recently i have had some issues. First, i do play on chrombeook, because finically it is the best i can do, but it crashes after preparing to load data. Second, there isnt any controller support, and it is stuck using the mobile layout, which is a pain for non touchscreen devices. Third, and finially, there are some asset files that simply dont download, for example Dvalin is wings, crystals, and glowing eyes, no neck or body. Overall i love the game, but cant play.",36,"August 17, 2022",3
"Amazing Music & Graphics! 😍 I've been playing off/on since the start & while I don't have all the characters or their constellations I still have a lot of fun playing. The free events rewards & the web daily login rewards are helpful. The map from their Tools helps a lot. I love that you can solo it all or you can choose multi. I play this on the PC with a numbered gaming mouse so I'm glad I can change keybinds. If you can, try both Mobile & PC versions to see which is best for you.",56,"August 1, 2022",5
"Amazing!!! I never experience any bugs or glitches and it runs smoothly and I can enjoy the gameplay. The game is super fun and I love the storyline and the events that make the game even better to enjoy. But the wishing system makes it harder for free to play players that dont want to spend any money on primogems. Other than that you can still have fun with the characters that you get. I WILL SAY THAT INAZUMA HAS REALLY HARD PUZZLES THEY MAKE ME CRY. ok I'm done but yeah, GET THE GAME!",15,"August 23, 2022",5
"Amazing map, characters, banners, events, bosses, and overall, deserves 5 stars. I love the graphics, story, domains. It does take a REALLY long time to load when you first download, takes up space, but that doesn't matter compared to the story and lore. Great game. I love the banners, although I've heard the older characters, like Klee, don't get reruns often. I got early pity on both Xiao and standard banner. Great characters, I fell in love on like, the first day playing it. Thanks HoyoLab!",275,"August 5, 2022",5
"I LOVE IT! The characters, the scenery, the updates, ect. It's such a fun game and its pretty realistic in certain ways. Like the creator of genshin deserves a noble peice price. The only thing is how you have to buy outfits and other stuff, but it's the best game I have ever played and I'm looking for more updates and banners.",13,"August 6, 2022",5
This game is very vast and beautiful. The storyline is engrossing and entertaining. I enjoy every game feature but the advancing through the story while obtaining characters and advancing them is extremely uneven. You are forced to buy characters to be able to defeat difficult bosses because you need drops from those bosses in order to advance certain characters. Its very disheartening. And the difficulty is getting harder and harder. Its sad because the game is soo beautiful.,7,"August 27, 2022",3
"Genshin Impact prides itself on story and exploration, the only problem I have is the lack of a skip button for story and cutscenes. There were times where a story boss took me a while to beat. In these occasions, I had to go through the same unskippable cut scenes, dialogue, and tedious boss phases just to get another shot at the part I mainly have trouble on. Besides that, The game is great and is, to an extent, very F2P freindly. So far, at AR 35, it has yet to feel P2W. But is tough at times",4,"August 11, 2022",4
Good game I had a lot of fun playing this but after finishing the main storyline the game gets quite boring unfortunately and while they do update the main quest after a while it takes a lot of space on my phone for me to almost never play it. However the character variety is great the weapons are great and can be quite a challenge. Really open world which is awesome and the experiences I had were great but after a little bit it's gets boring. Over all good game though,6,"August 28, 2022",4
"My internet works fine, I put my data on when I play, and I can not log in. I could play fine before 2.7 but not anymore. Sure, I lagged sometimes but not like this. When I get to the door on the loading screen it just kicks me out. I don't know what to do. I decided to delete it. Alr so I deleted it and redownloaded and it's all good now so yay! :))",6,"August 24, 2022",3
"Game is pretty fun and has a good base, but the lack of endgame content outside of artifact farming(gear equipment) and spiral abyss makes this game feel empty once you complete the daily commissions, use up resin, and have already challenged the abyss for the current rotation. I don't expect anything related to endgame be implemented in the near future. But, with how the game's story is slowly inching towards the end, something new and permanent would be nice.",452,"August 24, 2022",4
"This game is overall good, although, At some points in life, the game would stop working. After updates it would just shut down or you would not be able to enter the game. It would make you download it again and take up MASSIVE amounts of space when you already had it downloaded and an account. For me, this is a big problem that I feel like can be fixed! I think this game is perfect otherwise. <33",21,"July 28, 2022",4
"So I really like the game, for the most part. However during the battle with the electro cube thing it would just reset and I could not beat it. My friends have also had this trouble. The rest of the game is just fine. That bug just really upset me since I need the drops from it to upgrade my characters. I understand that this is a really big game, so I have no trouble waiting for fixes.",186,"July 22, 2022",2
"Simply put: I love the game. The world, characters, artstyle, combat, and music will suck you in. You don't need to spend any money to get cool characters, feel powerful and clear all the content. And there are a couple great options for light spenders so no need to whale. My only wish is for more permanent combat focused endgame. But try it out, I promise you'll have fun.",5,"August 19, 2022",5
"the game has a great lore and plot, but idk if its just my phone or if its the game. so everytime i play, its kinda slow but im somewhat fine with it. but then a few mins later when im trying to switch characters, it either wont change or a few seconds later it does but then reconnects the server, same with fighting, healing and all that and its getting rlly annoying otherwise its beautiful and has a good story to it",3,"July 31, 2022",4
"I've been playing this game s lot and I really like it. The graphics are amazing, it keeps my mind engaged with all the lore and missions. It's a game that takes a little bit of strategy to play, so you won't just be aimlessly running g around in it. Only thing bad I really have to say is that it doesn't have a pause button (in co-op mode, that is)",1,"August 5, 2022",4
"Good gameplay and really impressive world scale. Incredible that it's f2p. I don't mind the grind sometimes and when I find I get bored or am stuck, I just put it down and come back after a few weeks or more. The main problem I have is the lack of diversity in characters - physically, regarding skin tones, body shapes, hair types, etc - and diversity in game items - like weapon types/combat styles across characters. For a fantasy game, there is very little fantasy in the design of these things.",25,"August 25, 2022",3
"Let me first start off by saying that this game IS INCREDIBLE!! This game is NOT p2w(pay to win), it's f2p(free to play) 100%! The graphics, INCREDIBLE! The music, INCREDIBLE! The stories, INCREDIBLE! The cutscenes, INCREDIBLE! If you ever played Chrono Cross or Final Fantasy for the consoles, then this is the GAME FOR YOU! The file is big, 20GB but, it's worth it IMO! You'll need a powerful phone to play this, although you can change graphics to low, that takes away the exp. HAVE FUN!! 🙏❤️🙏",42,"July 13, 2022",5
"I loved the game, but sometimes it gets boring. Just doing quest and farming domains. It keeps crashing. Every 5 minutes or so please stop the crashing in the mobile , add something fun, and then the game is good please stop the crashing, it's annoying me so much. But without the crashing, it's a pretty good game",47,"July 21, 2022",4
This game is very amazing and entertaining the graphics are perfect and I would give it a five star but I have one problem when I play for some reason the game freezes and kicks me out randomly and it make the game really slow but I still think it is amazing for ipad or pc. It also take up too much data I had to get a second memory chip so I could download this and keep my other apps besides all of that this game is perfect.,3,"July 13, 2022",4
"Played since launch, max adventure rank. This is one of the greatest multi-platform game one can ask for. It may be a gacha game, but it certainly doesn't feel like one. The combat, playstyle, story, music, and visuals are absolutely top tier! You'd be missing out by not trying it and enjoying what a masterpiece of a game this is. What's even better you can play on any platform with cross saves across all, to play wherever and on whatever with same account as you wish. 10/10",18,"July 20, 2022",5
"The difficulty ratio when leveling up to a new world level seems heavily unbalanced. I've been playing this game since it debuted, but it keeps getting harder and I have been stuck for months. It's frustrating when this game has beautiful graphics and a wonderful storyline. Hard to keep pressing on when my player level is so low and it takes forever to grind away leveling up and not seeing much of a return.",130,"August 24, 2022",3
"there is a lot i love about it, great characters, beautiful setting, interesting story. but it has some drawbacks mainly the repetitive nature of a lot of the smaller quests, especially the daily ones, go do this small thing that is exactly the same as the last time, which very well might have been yesterday. but the biggest change id like to see is making the 10 pull more meaningful, tons of gacha gamrs like this make it a 10+1 pull just doesn't feel worthwhile to save for the big one.",3,"August 22, 2022",4
"Probably the best free gaming experience I've ever played, at least on Android, and the ability to play across other platforms is great too! But honestly I have had the easiest time pulling for good characters and equipment in this game than any other game, and I actually like the characters! Fully voiced and with their own unique abilities!",11,"July 14, 2022",5
"Good game. The early game is really immersive and the story hooked me. The open world is beautiful and great to explore. However, as you venture more into the game and level up, playing becomes more of a chore than an enjoyable experience. This is due to the lack of content that players will experience when they hit higher levels (AR 50+). Adding more end game content and implementing relevant player feedback would improve this game immensely. Hopefully this will be done in the near future.",8,"August 16, 2022",4
"Updated 8/24/22 I absolutely adore this game, I've been playing for almost 2 years now, very consistently. There was only one occasion where I got busy and took a longer break from the game. I like the combat system, characters and lore especially, but for a long while, and especially as of recently, there's been an extreme lack of diversity. Hoyoverse is making their regions based off real places, with real people who do not look like how the game has chosen to represent them.",34,"August 24, 2022",2
"Seriously, the most addicting game out there! Theres a reason that SO MANY people play this game. Its cool because you can either play on your own, exploring the entire MASSIVE world, doing quests while collecting and upgrading on your own. Or you can invite up to 4 other people from around the world to play with you. So much stuff to do and its all 100% totally F2P!! Ive been playing for over a year and ive never needed to pay a single dollar. Try it for yourself and youll be thanking me later!",0,"September 10, 2022",5
"Been playing since launch on both PC and mobile but mobile seems to be an awful experience 80 percent of the time. This game really needs a toggle for ""single player"" so it plays better. Recently been playing tower of fantasy on mobile and it runs better with multi-player real time users compared to genshins domains stuck at constant 999ms which don't ""require"" multi-player. Please consider a single player mode or an option to opt out of multi-player for mobile users thanks!",1,"September 9, 2022",2
One of the best free to play games period. It's not play to win. But if you want to get some of the really cool characters you might need to spend a bit of money. You can still get a chance to get the 5 star characters without it just takes a great deal of time and grinding and even then it's not always guaranteed. But overall absolutely amazing. They are always updating with new materials. Quests lines and boss battles. Epic is an understatement!,27,"July 16, 2022",5
It is a really good game. the graphics and the music are just beautiful. I do think it takes up quite a bit of space but it is worth it. I think this game really makes an impact(hehe get what I did there) on myself. Most of the time(when I'm not fighting monsters) it's very calming and fun. I definitely would recommend! :) <3,7,"July 18, 2022",4
"Literally just. Brainrotting over this game,,, so much lore,,, characters,,, yessss. Fair warning for beginners though, the game takes a while to download and the controls are a bit odd at first, but just fiddle around in the beginning and you'll figure it out. It's worth it in the end!!",10,"August 29, 2022",5
"i adore the game ! i love the graphics and the characters. the only problem i ever run into is that my game crashes consistently, and the only way to fix it is by restarting my phone. i don't really complain, as i figured it was just a problem with my phone as it has not happened to the other mobile players i've known.",5,"August 10, 2022",5
"This game is absolutely AMAZING, you should totally get it. The only problem for me is that I can't get the quest Undetected Infiltration. I've done everything. I've logged out, I even uninstalled the app and installed it again and that still didn't work. I had someone else do it for me which that didn't work either. Another thing is I can't see the health on hillichurls and stuff. Another than that this game is rlly fun! (I would rlly love to get this problem fixed tho ty)",2,"August 9, 2022",5
"I could say it's a fun game to play but I can never really get the whole experience of playing the game, anytime I open the game and it fully loads in like 5 seconds later it freeze and I don't know how to stop it from doing that, people on Google say lower the some the graphics settings but I can never do that because it always freezes before I get the chance too. But overall a pretty good game.",201,"August 3, 2022",2
"I'm going to be 100% honest. Genshin Impact is the most addicting game ever, better than minecraft actually. I love the game design and I think the idea kf u locking new regions with different elements in them is truly fascinating. The graphic designs are beautiful and I love how every dcharacter has a unique design that originates from their homeland. The plot of the entire game is also amazing and has a great lead on the stories. Overall, best game ever!",7,"July 12, 2022",5
"Sure, the game has amazing graphics and is easily the best free game, though I do not like how I have to delete all my apps just to play and for it not to load me in. The amount of storage it takes up is unbelievable and unnecessary. I would play if it would allow me to, it's been sitting in my apps for around an hour while I try to see if you guys have a discord sever. Please fix this problem.",25,"August 10, 2022",3
"I play on ps4 and mobile, and it's great. All of it is perfect except the fact that it randomly kicks me out while playing. I have absolutely no problems on my ps4, but it normally takes about 5 minutes after I enter the game for it to kick me out. This has happened for a VERY long time and, honestly, I'm surprised you haven't fixed this yet. Im not sure if it's my phone that is not working well with the app, or what, but I have a Galaxy S20 FE 5G. Please fix this, thanks!",6,"July 17, 2022",3
"It's definitely a cute and fun game, definitely worth a try if one is bored. My only real grievance with it is that it's hard to get any characters. Primocrystals take forever to accumulate it be much better that if you get 15 or 20 as rewards instead of 5. I quit once before because I could never get any decent characters or I got more weapons then I ever needed. Other then that pretty fun.",8,"July 20, 2022",4
"The first couple weeks playing the game feel phenomenal since the story is amazing and the progression is great. After a while though, it gets repetitive and content appears once in a while. Players have been having problems with lack of 2FA and lack of action against hacks. Feedback allows you to state concerns, but players tend to get back automated messages and nothing official. Changes may occur randomly and the F2P friendlyness is okay I guess.",14,"July 13, 2022",3
"It's a fun game. I've played it on ipad, PC, and android. I'm giving 3 stars because out of all the platforms I've played this on, android probably the least fun. The no controller support is a deal breaker. Using a controller is the main way I enjoy playing this. I really like genshin impact. It just frustrating there's no controller support on android.",14,"July 21, 2022",3
"Loads of gameplay and NO paywall holding you back like many games. My only complaint is that for as long as this game has existed, and as long as I've been asking, there is still no inverted y-axis controls for PC and mobile. It exists for anything with a controller, but nothing else.",4,"August 3, 2022",4
"This game is absolutely amazing! Incredible graphics, an amazing storyline, and interesting characters. However, my phone can no longer hold the game. The amount of storage this takes is ridiculous, and I'm going to have to uninstall because I'd like to have other apps on my phone. If you really enjoy genshin impact, it's ultimately better to play on a different device. It runs very smoothly and storage is not a problem when I play on PC!","2,075","June 16, 2022",3
"The game is really fun. Very entertaining. But I have some concerns, I don't know if it's just me but when I first downloaded the game. The quality was perfection. But now it's very blurry and blunt, and the sound crashes a lot which makes me suddenly get out of the game. And the storage is a huge problem. after the 2.7 update my phone just couldn't take it so i had to uninstall. but it does run very nicely on my pc or ipad without any problems.","1,654","June 25, 2022",3
"This game is gorgeous and fun and so easy to lose track of time playing. I get really sucked into the world. It does take up a lot of space, but I feel it is absolutely worth it. I have it in my phone and on my ps4. Though playing on mobile can be really tricky at times. I recently learned I can connect a Bluetooth controller to my phone, but there is no setting on mobile for a controller option. 😕",801,"June 22, 2022",4
"Really awesome game, I play it almost everyday. The graphics, story, character designs, mechanics, the overall contents of the game are impeccable. The only problem is it tends to crash on my device whenever I enter multiplayer, especially during domains. Other than that, this is one of the best games I have ever played and you'll get addicted faster than James Charles's career flopped.",484,"July 11, 2022",5
"Great game, I wish it were easier to get primogems so players wouldn't have to decide between skipping three banners and paying high amounts of money for the characters they want, but that probably won't be changing. Also the resin cap, both condensed and regular, are painful. Resin recovers excruciatingly slowly, and then the condensed cap makes it difficult to do much without stopping all the time to make more. Excited for the future though, I guess. The music and landscapes are beautiful.",69,"July 1, 2022",4
"The game is good, has a story, world, and characters that keep me coming back, and I play regularly on PC. But it turns out you kind of need a relatively newish phone to play the mobile version. Granted, my phone isn't super old, but the mobile version shouldn't be so unstable that it's a gamble if I can even get past the title screen. It feels like while this is a good looking game for mobile, it's the fact that it's so graphically intensive that keeps it from being playable on mobile.",73,"July 8, 2022",3
"I never liked to play mobile games and cross platform didn't seem viable to me. But this game made me change my mind! It plays well on mobile and PC and has a really good, gradual introduction of gameplay features. Maybe even a bit to gradual (slow) but maybe that's trying to enjoy it to the max and trying to every sidequest before moving on. It's just great and really well made. Addictive as well but that's what a good game should be and it's hard to not be tempted to play when I should work...",27,"August 21, 2022",5
"The visuals, music ,and characters designs are amazing and blends so well together that playing the game and exploring new places just makes me feel entranced everytime. I would have given it a 5* review if not for the fact that farming for primogems to wish is a tiring process. Other than that I love the game and I dont think I plan on deleting it anytime soon.",15,"August 14, 2022",4
"I'M IN LOVE WITH THIS GAME!!!!!! Nice graphics and super aesthetic sceneries. Frequent updates with new characters, events, quests and areas to explore. The music is also SUPER nice and always fits (sometimes I even listen to it on Spotify when I'm studying). Like, all of this is really stunning for an free App without ANY ads. Only pity: Some important story quests are time limited events so if you miss out on them, some things might be a bit confusing, but I'll strongly recommend anyway~!",17,"August 20, 2022",5
"The game is amazing and super underrated. Would give this a 5/5 on pc, but on mobile it's rlly laggy and the controls are clunky. If you have a pc, I would rlly recommend as its free and the combat is rlly fun. However, with the new updates, I feel the world map is becoming much too big and the new areas feel very repetitive and as if I'll only visit them once, and then move onto the next area. It doesn't help that each new city has much harder puzzles and now, each takes at least 10 mins",34,"August 24, 2022",4
"Top of the line graphics and gameplay and if you study east Asian languages this game is perfect for you because it's fully translated AND VOICED in Chinese, Japanese and Korean. My main complaints are its high battery use, device temperature and battery drain. Also it's an always online game even when you're on single player so you can't play it without a connection. It's incredibly addictive, but not very time consuming unless you want to do more.",9,"September 9, 2022",5
"I'm in love with this game I've been playing for year or two and it's really addicting because of the gameplay,quests,graphics,music and etc. But so many updates and the game storage growing is a problem for me. I had to delete genshin on my pc because I was out of storage and had to download it on phone. I just wish it didn't take that much of storage.",12,"August 24, 2022",4
"I'm loving the game very much. Tho there are a few visual glitches like the enemy's health bar disappearing after certain events occur like, using Fischl's burst, getting hit by a Gravedigger's projectile, and riding the waverider. It doesn't really affect me that much but it really get's annoying sometimes. Hopefully you may be able to fix this once the 3.0 update come. Cheers!",198,"August 21, 2022",5
